Name,Active,Level,Peak,Club,Division,Mentality,Position,Foot,Nation,Primary Class,Secondary Class,Model,Physique,Character,Base Value,Attachments,Decisions,Composure,Tempo,First Touch,Leadership,Communication,Drive,Discipline,Guile,Vision,Movement,Flair,Balance,Set Piece,Carries,Penalty,Long,Close,Through,Range,Accuracy,Cross,Takeons,Skills,Anticipation,Stamina,Recovery,Pressing,Intensity,Tackling,Marking,Blocking,Bravery,Positioning,Concentraion,Awareness,Aerial Duels,Reactions,Pace,Acceleration,Agility,Physicality,Hold Up,Duels,Aggression,Coordination,Jumping,Heading
Joshua Kimmich,checked,88,89,Bayern Munich,Bundesliga,Balanced,Wide Defender,R,Germany,Commander,Engine,General,,,£75000000.0,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Leroy Sane,checked,88,88,Bayern Munich,Bundesliga,Attacking,Wide Forward,L,Germany,Dribbler,Striker,Spark,Rapid,Elegant,£75000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Musiala,checked,88,88,Bayern Munich,Bundesliga,Attacking,Wide Forward,R,Germany,Dribbler,Creator,Wizard,,,£90000000.0,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Serge Gnabry,checked,87,87,Bayern Munich,Bundesliga,Attacking,Wide Forward,R,,Sprinter,Striker,Ghost,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Leon Goretzka,checked,87,87,Bayern Munich,Bundesliga,Balanced,Central Midfielder,R,,Engine,Commander,Driver,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Thomas Muller,checked,87,87,Bayern Munich,Bundesliga,Attacking,Central Midfielder,R,,Creator,Engine,Catalyst,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Dayot Upamecano,checked,86,86,Bayern Munich,Bundesliga,Balanced,Central Defender,R,France,Stopper,Controller,Lynchpin,,,£60000000.0,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Kingsley Coman,checked,86,86,Bayern Munich,Bundesliga,Attacking,Wide Forward,R,,Dribbler,Sprinter,Winger,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Konrad Laimer,checked,86,86,Bayern Munich,Bundesliga,Balanced,Central Midfielder,R,,Engine,Stopper,Destroyer,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Noussair Mazraoui,checked,86,86,Bayern Munich,Bundesliga,Balanced,Wide Defender,R,,Engine,Cover,Dynamo,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Kim Min-Jae,checked,85,85,Bayern Munich,Bundesliga,Balanced,Central Defender,R,South Korea,Stopper,Aerial,Centre Back,,,£60000000.0,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Eric Dier,checked,84,84,Bayern Munich,Bundesliga,Balanced,Central Defender,R,England,Stopper,Commander,Leader,Robust,Resolute,£30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Di Maria,checked,86,89,Benfica,Primeira Liga,Balanced,Wide Forward,L,,Creator,Dribbler,Magician,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Rafa,checked,86,86,Benfica,Primeira Liga,Attacking,Wide Forward,R,,Sprinter,Dribbler,Flash,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Nicolas Otamendi,checked,85,85,Benfica,Primeira Liga,Cautious,Central Defender,R,,Stopper,Commander,Leader,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Fredrik Aursnes,checked,85,85,Benfica,Primeira Liga,Balanced,Central Midfielder,R,,Engine,Controller,Box-To-Box,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Joao Mario,checked,85,85,Benfica,Primeira Liga,Balanced,Central Midfielder,R,,Controller,Engine,Conductor,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
David Neres,checked,85,85,Benfica,Primeira Liga,Attacking,Wide Forward,L,,Creator,Dribbler,Magician,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Anatoli Trubin,checked,85,85,Benfica,Primeira Liga,Balanced,Keeper,R,,Orthodox,Distributor,Sentry,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Antonio Silva,checked,85,85,Benfica,Primeira Liga,Balanced,Central Defender,R,,Stopper,Controller,Lynchpin,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Sivert Mannsverk,checked,84,84,Benfica,Primeira Liga,Balanced,Central Midfielder,R,,Engine,Passer,Metronome,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Ivan Toney,checked,87,87,Brentford,Premier League,Attacking,Central Forward,R,England,Aerial,Striker,Target,,,£100000000.0,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Bryan Mbeumo,checked,85,85,Brentford,Premier League,Attacking,Wide Forward,L,,Sprinter,Striker,Ghost,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Kaoru Mitoma,checked,85,85,Brighton,Premier League,Attacking,Wide Forward,R,Japan,Dribbler,Sprinter,Winger,Athletic,Focused,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pervis Estupinan,checked,85,85,Brighton,Premier League,Attacking,Wide Defender,L,,Engine,Sprinter,Shuttler,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Ansu Fati,checked,85,85,Brighton,Premier League,Attacking,Wide Forward,R,,Creator,Dribbler,Magician,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Danny Welbeck,checked,83,83,Brighton,Premier League,Balanced,Central Forward,R,England,Powerhouse,Striker,Spearhead,Powerful,Determined,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis Dunk,checked,83,83,Brighton,Premier League,Balanced,Central Defender,R,England,Stopper,Controller,Lynchpin,Robust,Resolute,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal Groß,checked,83,83,Brighton,Premier League,Balanced,Central Midfielder,R,Germany,Controller,Passer,Regista,Powerful,Composed,£25000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solly March,checked,83,83,Brighton,Premier League,Balanced,Wide Midfielder,L,England,Creator,Engine,Catalyst,Agile,Energetic,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Ferguson,checked,83,83,Brighton,Premier League,Balanced,Central Forward,R,Ireland,Striker,Aerial,Hitman,Athletic,Determined,£100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Webster,checked,82,82,Brighton,Premier League,Balanced,Central Defender,R,England,Stopper,Controller,Lynchpin,Robust,Composed,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariq Lamptey,checked,82,82,Brighton,Premier League,Attacking,Wide Defender,R,England,Sprinter,Cover,Flanker,Rapid,Determined,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Veltman,checked,79,79,Brighton,Premier League,Balanced,Wide Defender,R,Netherlands,Cover,Stopper,Cornerback,Robust,Composed,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Duffy,checked,76,76,Brighton,Premier League,Cautious,Central Defender,R,Ireland,Stopper,Aerial,Titan,Robust,Resolute,£4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight McNeil,checked,85,85,Burnley,Premier League,Balanced,Wide Midfielder,L,England,Creator,Dribbler,Magician,Pacy,Creative,£40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,checked,84,84,Burnley,Premier League,Balanced,Wide Defender,R,England,Passer,Cover,Provider,Dynamic,Resolute,£40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Pope,checked,82,82,Burnley,Premier League,Cautious,Keeper,R,England,Orthodox,Acrobat,Wall,Tall,Reliable,£30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Tarkowski,checked,82,82,Burnley,Premier League,Cautious,Central Defender,R,England,Stopper,Powerhouse,Rock,Robust,Resolute,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Mee,checked,81,81,Burnley,Premier League,Cautious,Central Defender,L,England,Stopper,Cover,Shield,Robust,Resolute,£20000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cork,checked,80,80,Burnley,Premier League,Cautious,Central Midfielder,R,England,Cover,Engine,Anchor,Dynamic,Reliable,£3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johann Berg Gudmundsson,checked,79,79,Burnley,Premier League,Balanced,Wide Midfielder,L,Iceland,Dribbler,Striker,Spark,Pacy,Creative,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Wood,checked,78,78,Burnley,Premier League,Balanced,Central Forward,R,New Zealand,Aerial,Striker,Target,Powerful,Determined,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Rodriguez,checked,78,78,Burnley,Premier League,Balanced,Central Forward,R,England,Striker,Engine,Poacher,Athletic,Industrious,£7000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Lowton,checked,77,77,Burnley,Premier League,Balanced,Wide Defender,R,England,Engine,Cover,Dynamo,Solid,Reliable,£4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Hendrick,checked,77,77,Burnley,Premier League,Balanced,Central Midfielder,R,Ireland,Engine,Passer,Metronome,Athletic,Industrious,£3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Westwood,checked,77,77,Burnley,Premier League,Balanced,Central Midfielder,R,England,Engine,Passer,Metronome,Dynamic,Reliable,£2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Taylor,checked,77,77,Burnley,Premier League,Balanced,Wide Defender,L,England,Cover,Passer,Provider,Dynamic,Resolute,£4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Brownhill,checked,75,75,Burnley,Premier League,Balanced,Central Midfielder,R,England,Engine,Controller,Box-To-Box,Dynamic,Reliable,£1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Silva,checked,87,91,Chelsea,Premier League,Balanced,Central Defender,R,Brazil,Stopper,Commander,Leader,Robust,Influential,£70000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thibaut Courtois,checked,87,90,Chelsea,Premier League,Cautious,Keeper,L,Belgium,Orthodox,Acrobat,Wall,Imposing,Focused,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece James,checked,87,87,Chelsea,Premier League,Balanced,Wide Defender,R,,Powerhouse,Engine,,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Raheem Sterling,checked,86,87,Chelsea,Premier League,Attacking,Wide Forward,R,England,Dribbler,Creator,Wizard,Agile,Determined,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Nkunku,checked,86,87,Chelsea,Premier League,Attacking,Central Midfielder,R,,Creator,Dribbler,Magician,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Moises Caicedo,checked,86,86,Chelsea,Premier League,Balanced,Central Midfielder,R,Ecuador,Engine,Stopper,Destroyer,Dynamic,Tenacious,£70000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Fernandez,checked,86,86,Chelsea,Premier League,Attacking,Central Midfielder,R,,Creator,Passer,Maestro,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Wesley Fofana,checked,85,85,Chelsea,Premier League,Balanced,Central Defender,R,,Stopper,Powerhouse,Rock,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Axel Disasi,checked,85,85,Chelsea,Premier League,Attacking,Central Defender,R,,Stopper,Powerhouse,Rock,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Conor Gallagher,checked,85,85,Chelsea,Premier League,Balanced,Central Midfielder,R,,Engine,Commander,Driver,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Nicolas Jackson,checked,85,85,Chelsea,Premier League,Balanced,Central Forward,L,,Sprinter,Striker,Ghost,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Benoit Badiashile,checked,85,85,Chelsea,Premier League,Cautious,Central Defender,L,,Stopper,Powerhouse,Rock,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Oscar,checked,84,84,Chelsea,Premier League,Attacking,Central Midfielder,R,Brazil,Creator,Dribbler,Magician,Agile,Crafty,£80000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykhaylo Mudryk,checked,84,84,Chelsea,Premier League,Attacking,Wide Forward,R,,Sprinter,Striker,Ghost,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
César Azpilicueta,checked,83,83,Chelsea,Premier League,Cautious,Wide Defender,R,Spain,Cover,Stopper,Cornerback,Dynamic,Reliable,£35000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Chalobah,checked,83,83,Chelsea,Premier League,Balanced,Central Defender,R,,Stopper,Powerhouse,Rock,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Robert Sánchez,checked,82,82,Chelsea,Premier League,Cautious,Keeper,R,Spain,Acrobat,Orthodox,Shotstopper,Powerful,Resolute,£5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Matic,checked,82,82,Chelsea,Premier League,Cautious,Central Midfielder,L,Serbia,Commander,Engine,General,Robust,Composed,£40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Costa,checked,79,79,Chelsea,Premier League,Balanced,Central Forward,R,Spain/Brazil,Powerhouse,Striker,Spearhead,Powerful,Combative,£50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Olise,checked,87,87,Crystal Palace,Premier League,Attacking,Wide Forward,L,England,Dribbler,Striker,Spark,Speedy,,£80000000.0,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Eberechi Eze,checked,86,86,Crystal Palace,Premier League,Attacking,Central Midfielder,R,England,Creator,Dribbler,Magician,Agile,Talismanic,£60000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheick Doucoure,checked,84,84,Crystal Palace,Premier League,Balanced,Central Midfielder,R,,Engine,Cover,Dynamo,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Marc Guehi,checked,83,83,Crystal Palace,Premier League,Cautious,Central Defender,R,England,Stopper,Powerhouse,Rock,Powerful,Reliable,£40000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Ayew,checked,83,83,Crystal Palace,Premier League,Balanced,Central Forward,R,Ghana,Creator,Engine,Catalyst,Speedy,Crafty,£8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Phillipe Mateta,checked,83,83,Crystal Palace,Premier League,Balanced,Central Forward,R,France,Powerhouse,Striker,Spearhead,,,£25000000.0,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Aaron Wan-Bissaka,checked,82,82,Crystal Palace,Premier League,Balanced,Wide Defender,R,England,Stopper,Cover,Shield,Athletic,Reliable,£30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick van Aanholt,checked,79,79,Crystal Palace,Premier League,Attacking,Wide Defender,L,Netherlands,Sprinter,Cover,Flanker,Rapid,Unpredictable,£10000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Ward,checked,78,78,Crystal Palace,Premier League,Cautious,Wide Defender,R,England,Cover,Stopper,Cornerback,Robust,Resolute,£3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregor Kobel,checked,85,85,Dortmund,Bundesliga,Balanced,Keeper,R,,Acrobat,Sweeper,Hawk,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Marcel Sabitzer,checked,85,85,Dortmund,Bundesliga,Balanced,Central Midfielder,R,,Engine,Cover,Dynamo,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Nico Schlotterbeck,checked,85,85,Dortmund,Bundesliga,Cautious,Central Defender,L,,Stopper,Aerial,Centre Back,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Niklas Sule,checked,85,85,Dortmund,Bundesliga,Cautious,Central Defender,R,,Stopper,Aerial,Centre Back,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
Julian Brandt,checked,85,85,Dortmund,Bundesliga,Attacking,Central Midfielder,R,,Creator,Passer,Maestro,,,,,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average
