Name,Nation,NationStatus,Active,Club,Field 1 (from Club),Division,Position,Foot,Mentality,Primary,Secondary,Model,Level,ClubStatus,Transfer Status
Harry Vaughan,Ireland,,checked,Bristol Rovers,England,League One,,,,,,,,,
Grant Ward,England,,checked,Bristol Rovers,England,League One,,,,,,,,,
Elkan Baggott,,,checked,Bristol Rovers,England,League One,,,,,,,,,
Jevani Brown,Jamaica,,checked,Bristol Rovers,England,League One,,,,,,,,,
John Marquis,England,,checked,Bristol Rovers,England,League One,,Right,,,,,,,
Jordan Rossiter,England,,checked,Bristol Rovers,England,League One,,,,,,,,,
Antony Evans,England,,checked,Bristol Rovers,England,League One,,,,,,,,,
Matthew Hall,England,,checked,Bristol Rovers,England,League One,GK,,,,,,,,
Matthew Cox,England,,checked,Bristol Rovers,England,League One,GK,,,,,,,,
Brandon Aguilera,Costa Rica,,checked,Bristol Rovers,England,League One,,,,,,,,,
Josh Grant,England,,checked,Bristol Rovers,England,League One,,,,,,,,,
Scott Sinclair,England,,checked,Bristol Rovers,England,League One,,,,,,,,,
Connor Taylor,England,,checked,Bristol Rovers,England,League One,,,,,,,,,
Matt Lowton,England,,checked,Burnley,England,Premier League,WD ,Right,Balanced,Engine,Cover,Dynamo,84,,
Jeff Hendrick,Ireland,,checked,Burnley,England,Premier League,CM,Right,Balanced,Engine,Passer,Orchestrator,84,,
Jay Rodriguez,England,,checked,Burnley,England,Premier League,CF,Right,Balanced,Striker,Engine,Poacher,84,,
Johann Berg Gudmundsson,Iceland,,checked,Burnley,England,Premier League,WM,Left,Balanced,Dribbler,Striker,Attacker,84,,
Charlie Taylor,England,,checked,Burnley,England,Premier League,WD ,Left,Balanced,Cover,Engine,Workhorse,84,,
Jack Cork,England,,checked,Burnley,England,Premier League,CM,Right,Cautious,Cover,Commander,Volante,85,,
Josh Brownhill,England,,checked,Burnley,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,84,,
Dara O'Shea,Ireland,,checked,Burnley,England,Premier League,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,84,,
Mike Tresor,Belgium,,checked,Burnley,England,Premier League,WM,Right,Attacking,Creator,Dribbler,Magician,84,,
Lorenz Assignon,France,,checked,Burnley,England,Premier League,WD ,Right,Balanced,Sprinter,Cover,Flanker,85,,
Jacob Bruun Larsen,Denmark,Rotation,checked,Burnley,England,Premier League,WM,Right,Balanced,Sprinter,Creator,Livewire,85,Starter,
Luca Koleosho,Italy,,checked,Burnley,England,Premier League,WF,Right,Attacking,Sprinter,Dribbler,Spark,85,,
Zeki Amdouni,Switzerland,,checked,Burnley,England,Premier League,CF,Right,Attacking,Creator,Dribbler,Magician,86,,
Jordan Beyer,Germany,,checked,Burnley,England,Premier League,CD,Right,Balanced,Stopper,Controller,Lynchpin,84,,
Sander Berge,Norway,,checked,Burnley,England,Premier League,CM,Right,Cautious,Powerhouse,Engine,Tank,85,,
James Trafford,England,,checked,Burnley,England,Premier League,GK,Right,Balanced,Distributor,Acrobat,Point Guard,85,,
Manuel Benson,Belgium,,checked,Burnley,England,Premier League,WM,Left,Attacking,Sprinter,Creator,Livewire,84,,
Anass Zaroury,Morocco,,checked,Burnley,England,Premier League,WF,Right,Attacking,Creator,Dribbler,Magician,85,,
Josh Cullen,Ireland,,checked,Burnley,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Vitinho,Brazil,,checked,Burnley,England,Premier League,WD ,Right,Balanced,Sprinter,Engine,Raider,84,,
David Datro Fofana,,,checked,Burnley,England,Premier League,CF,Right,Attacking,Striker,Powerhouse,Hitman,86,,
Hannes Delcroix,Belgium,,checked,Burnley,England,Premier League,CD,Left,Cautious,Cover,Powerhouse,Cornerback,83,,
Wilson Odobert,France,,checked,Burnley,England,Premier League,WF,Right,Attacking,Creator,Dribbler,Magician,85,,
Lawrence Vigouroux,Chile,,checked,Burnley,England,Premier League,GK,Left,Balanced,Distributor,Acrobat,Point Guard,83,,
Hjalmar Ekdal,Sweden,,checked,Burnley,England,Premier League,CD,Right,Attacking,Powerhouse,Aerial,Dominator,83,,
Ameen Al-Dakhil,Belgium,,checked,Burnley,England,Premier League,CD,Right,Balanced,Stopper,Controller,Lynchpin,83,,
Darko Churlinov,,,checked,Burnley,England,Premier League,WM,Right,Balanced,Engine,Sprinter,Shuttler,82,,
Lyle Foster,South Africa,,checked,Burnley,England,Premier League,CF,Right,Attacking,Powerhouse,Striker,Rifle,84,,
Enock Agyei,Belgium,,checked,Burnley,England,Premier League,WF,Left,Balanced,Sprinter,Engine,Raider,80,,
Aaron Ramsey,England,,checked,Burnley,England,Premier League,CM,Right,Balanced,Dribbler,Sprinter,Winger,85,,
Han-Noah Massengo,France,,checked,Burnley,England,Premier League,CM,Right,Balanced,Engine,Controller,Box-To-Box,82,,
Arijanet Muric,Bosnia & Herzegovina,,checked,Burnley,England,Premier League,GK,Right,Balanced,Aerial,Acrobat,Custodian,83,,
Ronny Wakelin,England,,checked,Burton Albion,England,League One,,,,,,,,,
Toby Oakes,England,,checked,Burton Albion,England,League One,,,,,,,,,
Mason Bennett,England,,checked,Burton Albion,England,League One,,,,,,,,,
Kegs Chauke,South Africa,,checked,Burton Albion,England,League One,,,,,,,,,
Jakub Niemczyk,Poland,,checked,Burton Albion,England,League One,,,,,,,,,
Mark Helm,England,,checked,Burton Albion,England,League One,,,,,,,,,
Sam Hughes,England,,checked,Burton Albion,England,League One,,,,,,,,,
William Tamen,England,,checked,Burton Albion,England,League One,,,,,,,,,
Cole Stockton,England,,checked,Burton Albion,England,League One,,,,,,,,,
John Brayford,England,,checked,Burton Albion,England,League One,WD ,Right,Balanced,Cover,Engine,Workhorse,,,
Josh Gordon,England,,checked,Burton Albion,England,League One,,,,,,,,,
Dylan Scott,England,,checked,Burton Albion,England,League One,,,,,,,,,
Tom Hamer,England,,checked,Burton Albion,England,League One,,,,,,,,,
Jasper Moon,England,,checked,Burton Albion,England,League One,,,,,,,,,
Rekeem Harper,England,,checked,Burton Albion,England,League One,,,,,,,,,
Max Crocombe,New Zealand,,checked,Burton Albion,England,League One,GK,,,,,,,,
Finn Delap,England,,checked,Burton Albion,England,League One,,,,,,,,,
Ciaran Gilligan,Ireland,,checked,Burton Albion,England,League One,,,,,,,,,
Joe Powell,England,,checked,Burton Albion,England,League One,,,,,,,,,
Tom Hewlett,England,,checked,Burton Albion,England,League One,,,,,,,,,
Jake Kean,England,,checked,Burton Albion,England,League One,GK,,,,,,,,
Ryan Sweeney,Ireland,,checked,Burton Albion,England,League One,,,,,,,,,
Paul Digby,England,,checked,Cambridge United,England,League One,,,,,,,,,
Fejiri Okenabirhie,England,,checked,Cambridge United,England,League One,,,,,,,,,
Elias Kachunga,,,checked,Cambridge United,England,League One,,,,,,,,,
Adam May,England,,checked,Cambridge United,England,League One,,,,,,,,,
James Brophy,England,,checked,Cambridge United,England,League One,,,,,,,,,
Glenn McConnell,Ireland,,checked,Cambridge United,England,League One,,,,,,,,,
Jack Lankester,England,,checked,Cambridge United,England,League One,,,,,,,,,
Kai Yearn,England,,checked,Cambridge United,England,League One,,,,,,,,,
Sullay Kaikai,Sierra Leone,,checked,Cambridge United,England,League One,,,,,,,,,
Louis Chadwick,England,,checked,Cambridge United,England,League One,GK,,,,,,,,
Macauley Bonne,Zimbabwe,,checked,Cambridge United,England,League One,,,,,,,,,
Danny Andrew,England,,checked,Cambridge United,England,League One,,Left,,,,,,,
Gassan Ahadme,Morocco,,checked,Cambridge United,England,League One,,,,,,,,,
Jack Stevens,England,,checked,Cambridge United,England,League One,GK,,,,,,,,
James Gibbons,England,,checked,Cambridge United,England,League One,,,,,,,,,
George Thomas,Wales,,checked,Cambridge United,England,League One,,,,,,,,,
Zeno Ibsen Rossi,England,,checked,Cambridge United,England,League One,,,,,,,,,
Lewis Simper,England,,checked,Cambridge United,England,League One,,,,,,,,,
Will Mannion,England,,checked,Cambridge United,England,League One,GK,,,,,,,,
Brandon Njoku,England,,checked,Cambridge United,England,League One,,,,,,,,,
Mamadou Jobe,England,,checked,Cambridge United,England,League One,,,,,,,,,
Ryan Bennett,England,,checked,Cambridge United,England,League One,,Right,,,,,,,
Jordan Cousins,Jamaica,,checked,Cambridge United,England,League One,,,,,,,,,
Harrison Dunk,England,,checked,Cambridge United,England,League One,,,,,,,,,
Jubril Okedina,Malawi,,checked,Cambridge United,England,League One,,,,,,,,,
Liam Bennett,England,,checked,Cambridge United,England,League One,,,,,,,,,
Michael Morrison,England,,checked,Cambridge United,England,League One,,Right,,,,,,,
George Hoddle,England,,checked,Cambridge United,England,League One,,,,,,,,,
Lyle Taylor,,,checked,Cambridge United,England,League One,,Right,,,,,,,
Saikou Janneh,Gambia,,checked,Cambridge United,England,League One,,,,,,,,,
James Holden,England,,checked,Cambridge United,England,League One,GK,,,,,,,,
Jack Ellis,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Callum Guy,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Josh Emmanuel,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Tomáš Holý,Czechia,,checked,Carlisle United,England,League Two,GK,,,,,,,,
Fin Back,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Jayden Harris,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Harrison Neal,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Jon Mellish,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Terry Ablade,Finland,,checked,Carlisle United,England,League Two,,,,,,,,,
Alfie McCalmont,,,checked,Carlisle United,England,League Two,,,,,,,,,
Corey Whelan,Ireland,,checked,Carlisle United,England,League Two,,,,,,,,,
Jack Armer,Scotland,,checked,Carlisle United,England,League Two,,,,,,,,,
Ben Barclay,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Sean Maguire,Ireland,,checked,Carlisle United,England,League Two,,,,,,,,,
Josh Vela,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Jordan Gibson,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Jack Diamond,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Danny Butterworth,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Samuel Lavelle,Scotland,,checked,Carlisle United,England,League Two,,,,,,,,,
Luke Armstrong,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Georgie Kelly,Ireland,,checked,Carlisle United,England,League Two,,,,,,,,,
Paul Huntington,England,,checked,Carlisle United,England,League Two,,Right,,,,,,,
Harry Lewis,England,,checked,Carlisle United,England,League Two,GK,,,,,,,,
Dylan McGeouch,Scotland,,checked,Carlisle United,England,League Two,,,,,,,,,
Aran Fitzpatrick,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Taylor Charters,England,,checked,Carlisle United,England,League Two,,,,,,,,,
Gabriel Breeze,England,,checked,Carlisle United,England,League Two,GK,,,,,,,,
Tennai Watson,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Kayne Ramsay,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Ashley Maynard-Brewer,Australia,,checked,Charlton Athletic,England,League One,GK,,,,,,,,
Conor McGrandles,Scotland,,checked,Charlton Athletic,England,League One,,,,,,,,,
Harry Isted,England,,checked,Charlton Athletic,England,League One,GK,,,,,,,,
Tyreece Campbell,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Lucas Ness,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Terry Taylor,Wales,,checked,Charlton Athletic,England,League One,,,,,,,,,
Chuks Aneke,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Lloyd Jones,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Macaulay Gillesphey,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Zach Mitchell,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Aaron Henry,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Thierry Small,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Miles Leaburn,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Nathan Asiimwe,Uganda,,checked,Charlton Athletic,England,League One,,,,,,,,,
Tayo Edun,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Karoy Anderson,Jamaica,,checked,Charlton Athletic,England,League One,,,,,,,,,
Scott Fraser,Scotland,,checked,Charlton Athletic,England,League One,,,,,,,,,
Rarmani Edmonds-Green,England,,checked,Charlton Athletic,England,League One,,,,,,,,,
Conor Coventry,Ireland,,checked,Charlton Athletic,England,League One,,,,,,,,,
Daniel Kanu,Sierra Leone,,checked,Charlton Athletic,England,League One,,,,,,,,,
Ben Chilwell,England,Reserve,checked,Chelsea,England,Premier League,WD ,Left,Attacking,Passer,Cover,Provider,88,Starter,
Robert Sánchez,Spain,,checked,Chelsea,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,85,,
Raheem Sterling,England,Reserve,checked,Chelsea,England,Premier League,WF,Right,Attacking,Sprinter,Dribbler,Spark,87,,
Moises Caicedo,Ecuador,Starter,checked,Chelsea,England,Premier League,CM,Right,Balanced,Engine,Stopper,Destroyer,89,Starter,
Thiago Silva,Brazil,Retired,checked,Chelsea,England,Premier League,CD,Right,Cautious,Stopper,Commander,Leader,90,Starter,
Reece Lewis James,England,Reserve,checked,Chelsea,England,Premier League,WD ,Right,Balanced,Engine,Commander,Driver,90,Key,
Christopher Nkunku,France,Rotation,checked,Chelsea,England,Premier League,CM,Right,Attacking,Creator,Dribbler,Magician,90,Rotation,
Mykhaylo Mudryk,Ukraine,Starter,checked,Chelsea,England,Premier League,WF,Right,Attacking,Sprinter,Striker,Assassin,86,Rotation,
Trevor Chalobah,England,,checked,Chelsea,England,Premier League,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,86,,
Wesley Fofana,France,,checked,Chelsea,England,Premier League,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,87,,
Axel Disasi,France,,checked,Chelsea,England,Premier League,CD,Right,Attacking,Stopper,Engine,Disruptor,87,,
Enzo Fernandez,Argentina,Starter,checked,Chelsea,England,Premier League,CM,Right,Attacking,Creator,Passer,Maestro,89,Starter,
Conor Gallagher,England,Squad,checked,Chelsea,England,Premier League,CM,Right,Balanced,Engine,Commander,Driver,88,Starter,
Nicolas Jackson,Senegal,Starter,checked,Chelsea,England,Premier League,CF,Left,Balanced,Sprinter,Striker,Assassin,87,Starter,
Benoit Badiashile,France,,checked,Chelsea,England,Premier League,CD,Left,Cautious,Stopper,Powerhouse,Gladiator,86,,
Diego Moreira,Portugal,,checked,Chelsea,England,Premier League,WM,Left,Attacking,Sprinter,Dribbler,Spark,82,,
Marc Cucurella,Spain,,checked,Chelsea,England,Premier League,WD ,Left,Attacking,Sprinter,Engine,Raider,88,,
Levi Colwill,England,,checked,Chelsea,England,Premier League,CD,Left,Balanced,Stopper,Cover,Shield,87,,
Ishé Samuels-Smith,England,,checked,Chelsea,England,Premier League,WD ,Left,Balanced,Sprinter,Engine,Raider,80,,
Dorde Petrovic,Serbia,,checked,Chelsea,England,Premier League,GK,Right,Cautious,Acrobat,Orthodox,Shotstopper,85,,
Marcus Bettinelli,England,,checked,Chelsea,England,Premier League,GK,Right,Balanced,Orthodox,Commander,Sentinel,84,,
Noni Madueke,England,National Pool,checked,Chelsea,England,Premier League,WF,Left,Attacking,Dribbler,Sprinter,Winger,86,,
Deived Washington,Brazil,Youth Radar,checked,Chelsea,England,Premier League,CF,Right,Balanced,Creator,Passer,Maestro,83,Prospect,
Zak Sturge,England,,checked,Chelsea,England,Premier League,WD ,Left,Balanced,Sprinter,Engine,Raider,82,,
Romeo Lavia,Belgium,,checked,Chelsea,England,Premier League,CM,Right,Cautious,Controller,Cover,Halfback,85,,
Carney Chukwuemeka,England,,checked,Chelsea,England,Premier League,CM,Right,Attacking,Creator,Engine,Catalyst,85,,
Lesley Ugochukwu,France,,checked,Chelsea,England,Premier League,CM,Right,Balanced,Engine,Powerhouse,Bison,85,,
Malang Sarr,France,,checked,Chelsea,England,Premier League,CD,Left,Balanced,Cover,Controller,Sweeper,85,,
Malo Gusto,France,,checked,Chelsea,England,Premier League,WD ,Right,Attacking,Sprinter,Engine,Raider,87,,
Cesare Casadei,Italy,,checked,Chelsea,England,Premier League,CM,Right,Attacking,Creator,Striker,Fantasista,84,,
Michael Golding,England,,checked,Chelsea,England,Premier League,CM,Right,Attacking,Creator,Passer,Maestro,82,,
Alfie Gilchrist,England,,checked,Chelsea,England,Premier League,CD,Right,Cautious,Stopper,Commander,Leader,82,,
Jimi Tauriainen,Finland,,checked,Chelsea,England,Premier League,CM,Left,Balanced,Sprinter,Striker,Assassin,82,,
Cole Palmer,England,Starter,checked,Chelsea,England,Premier League,CM,Left,Attacking,Creator,Striker,Fantasista,90,Key,
Kendry Paez,Ecuador,,checked,Chelsea,England,Premier League,WM,Left,Balanced,Creator,Sprinter,Hurricane,86,Wonderkid,
Leo Castledine,England,Youth Radar,checked,Chelsea,England,Premier League,CM,Right,Balanced,Engine,Striker,Menace,83,Wonderkid,
Jimmy-Jay Morgan,England,Youth Radar,checked,Chelsea,England,Premier League,CF,,,,,,83,Wonderkid,
Đorđe Petrović,Serbia,,checked,Chelsea,England,Premier League,GK,Right,Cautious,Acrobat,Aerial,Guardian,85,,
Guro Reitan,Norway,,checked,Chelsea WFC,England,WSL,WM,Left,Attacking,Creator,Passer,Maestro,85,,
Sam Kerr,Australia,,checked,Chelsea WFC,England,WSL,CF,Either,Attacking,Striker,Sprinter,Rocket,87,,
Lauren James,England,,checked,Chelsea WFC,England,WSL,WF,Right,Attacking,Creator,Dribbler,Magician,85,,
Millie Bright,England,,checked,Chelsea WFC,England,WSL,CD,Right,Balanced,Stopper,Powerhouse,Gladiator,87,,
Aniek Nouwen,Netherlands,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Jorja Fox,England,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Ashanti Akpan,England,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Mayra Ramírez,Colombia,,checked,Chelsea WFC,England,WSL,CF,Right,Attacking,Striker,Sprinter,Rocket,84,,
Sophie Ingle,Wales,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Erin Cuthbert,Scotland,,checked,Chelsea WFC,England,WSL,CM,Right,Balanced,Engine,Striker,Menace,84,,
Maika Hamano,Japan,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Niamh Charles,England,,checked,Chelsea WFC,England,WSL,WD ,Either,Balanced,Creator,Engine,Catalyst,84,,
Maren Mjelde,Norway,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Jess Carter,England,,checked,Chelsea WFC,England,WSL,WD ,Right,Cautious,Cover,Powerhouse,Cornerback,85,,
Aggie Beever-Jones,England,,checked,Chelsea WFC,England,WSL,WF,Right,Attacking,Dribbler,Creator,Wizard,82,,
Nathalie Björn,Sweden,,checked,Chelsea WFC,England,WSL,CD,Right,Balanced,Stopper,Controller,Lynchpin,83,,
Zećira Mušović,Sweden,,checked,Chelsea WFC,England,WSL,GK,,Cautious,Acrobat,Commander,Spider,84,,
Hannah Hampton,England,,checked,Chelsea WFC,England,WSL,GK,,Cautious,,,,81,,
Ashley Lawrence,Canada,,checked,Chelsea WFC,England,WSL,WD ,Right,Balanced,Cover,Engine,Workhorse,84,,
Catarina Macario,,,checked,Chelsea WFC,England,WSL,CF,Right,Attacking,Creator,Sprinter,Hurricane,83,,
Sjoeke Nüsken,Germany,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Fran Kirby,England,,checked,Chelsea WFC,England,WSL,WF,Right,Attacking,Creator,Striker,Fantasista,83,,
Nicky Evrard,Belgium,,checked,Chelsea WFC,England,WSL,GK,,Cautious,,,,,,
Jelena Čanković,Serbia,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Ève Périsset,France,,checked,Chelsea WFC,England,WSL,,,,,,,79,,
Kadeisha Buchanan,Canada,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Melanie Leupolz,Germany,,checked,Chelsea WFC,England,WSL,CM,Right,Balanced,Controller,Passer,Regista,83,,
Mia Fishel,,,checked,Chelsea WFC,England,WSL,,,,,,,,,
Johanna Rytting Kaneryd,Sweden,,checked,Chelsea WFC,England,WSL,WM,Right,Attacking,Sprinter,Creator,Livewire,83,,
Tom Pett,England,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Elliot Bonds,Guyana,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Jordan Thomas,England,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Liam Kinsella,Ireland,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Lewis Freestone,England,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Brandon Liggett,England,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Tom Bradbury,England,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Matty Taylor,England,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Freddy Willcox,England,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Rob Street,England,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Aidan Keena,Ireland,,checked,Cheltenham Town,England,League Two,,,,,,,,,
Max Harris,England,,checked,Cheltenham Town,England,League Two,GK,,,,,,,,
Connor Cook,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Ollie Banks,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Harry Tyrer,England,,checked,Chesterfield,England,League Two,GK,,,,,,,,
Thomas Marshall,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Ryheem Sheckleford,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Branden Horton,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Will Grigg,Northern Ireland,,checked,Chesterfield,England,League Two,CF,Right,Attacking,Striker,Engine,Poacher,,,
Tyrone Williams,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Bailey Hobson,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Ali Mohiuddin,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Joe Quigley,Ireland,,checked,Chesterfield,England,League Two,,,,,,,,,
Mike Jones,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Darren Oldaker,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Liam Mandeville,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Luke Chadwick,England,,checked,Chesterfield,England,League Two,GK,,,,,,,,
Liam Jessop,,,checked,Chesterfield,England,League Two,,,,,,,,,
Jay Abudu,Ghana,,checked,Chesterfield,England,League Two,,,,,,,,,
Tom Naylor,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Bailey Clements,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Jeff King,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Ryan Boot,England,,checked,Chesterfield,England,League Two,GK,,,,,,,,
James Berry,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Michael Jacobs,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Miguel Freckleton,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Ash Palmer,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Jamie Grimes,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Armando Dobra,Albania,,checked,Chesterfield,England,League Two,,,,,,,,,
Ryan Colclough,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Harley Curtis,England,,checked,Chesterfield,England,League Two,,,,,,,,,
Matt Jay,England,,checked,Colchester United,England,League Two,,,,,,,,,
Owura Edwards,England,,checked,Colchester United,England,League Two,,,,,,,,,
Jayden Fevrier,England,,checked,Colchester United,England,League Two,,,,,,,,,
Noah Chilvers,England,,checked,Colchester United,England,League Two,,,,,,,,,
Connor Hall,England,,checked,Colchester United,England,League Two,,,,,,,,,
Tom Hopper,England,,checked,Colchester United,England,League Two,,,,,,,,,
Cameron McGeehan,,,checked,Colchester United,England,League Two,,,,,,,,,
Bradley Ihionvien,England,,checked,Colchester United,England,League Two,,,,,,,,,
Mandela Egbo,England,,checked,Colchester United,England,League Two,,,,,,,,,
Ellis Iandolo,England,,checked,Colchester United,England,League Two,,,,,,,,,
Chay Cooper,England,,checked,Colchester United,England,League Two,,,,,,,,,
Arthur Read,England,,checked,Colchester United,England,League Two,,,,,,,,,
Fiacre Kelleher,Ireland,,checked,Colchester United,England,League Two,,,,,,,,,
Conor Wilkinson,Ireland,,checked,Colchester United,England,League Two,,,,,,,,,
Will Greenidge,England,,checked,Colchester United,England,League Two,,,,,,,,,
Samson Tovide,England,,checked,Colchester United,England,League Two,,,,,,,,,
Tom Smith,England,,checked,Colchester United,England,League Two,GK,,,,,,,,
Luis Binks,England,,checked,Coventry City,England,Championship,CD,Left,Balanced,Stopper,Aerial,Centre Back,82,,
Haji Wright,United States,,checked,Coventry City,England,Championship,CF,Right,Balanced,Powerhouse,Aerial,Dominator,85,,
Kasey Palmer,Jamaica,,checked,Coventry City,England,Championship,CM,Right,Attacking,Creator,Passer,Maestro,84,,
Tatsuhiro Sakamoto,Japan,,checked,Coventry City,England,Championship,WM,Left,Balanced,Engine,Creator,Raumdeuter,83,,
Josh Eccles,England,,checked,Coventry City,England,Championship,CM,Right,Balanced,Engine,Stopper,Destroyer,83,,
Matt Godden,England,,checked,Coventry City,England,Championship,CF,Right,Attacking,Striker,Engine,Poacher,83,,
Joel Latibeaudiere,Jamaica,,checked,Coventry City,England,Championship,CD,Right,Cautious,Commander,Stopper,Skipper,83,,
Milan van Ewijk,Netherlands,,checked,Coventry City,England,Championship,WD ,Right,Balanced,Sprinter,Engine,Raider,83,,
Victor Torp,Denmark,,checked,Coventry City,England,Championship,CM,Right,Balanced,Creator,Engine,Catalyst,85,,
Jay Dasilva,Wales,,checked,Coventry City,England,Championship,WD ,Left,Balanced,Sprinter,Creator,Livewire,84,,
Ellis Simms,England,,checked,Coventry City,England,Championship,CF,Right,Balanced,Powerhouse,Striker,Rifle,83,,
Liam Kelly,Scotland,,checked,Coventry City,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,82,,
Jake Bidwell,England,,checked,Coventry City,England,Championship,WD ,Left,Balanced,Engine,Cover,Dynamo,83,,
Ben Sheaf,England,,checked,Coventry City,England,Championship,CM,Right,Balanced,Engine,Controller,Box-To-Box,83,,
Liam Kitching,England,,checked,Coventry City,England,Championship,CD,Left,Balanced,Stopper,Engine,Disruptor,82,,
Bradley Collins,England,,checked,Coventry City,England,Championship,GK,Right,Cautious,Distributor,Sweeper,Libero GK,82,,
Bobby Thomas,England,,checked,Coventry City,England,Championship,CD,Right,Cautious,Stopper,Aerial,Centre Back,83,,
Ben Wilson,England,,checked,Coventry City,England,Championship,GK,Right,Balanced,Acrobat,Orthodox,Shotstopper,82,,
Simon Moore,England,,checked,Coventry City,England,Championship,GK,Right,Cautious,Aerial,Orthodox,Barrier,82,,
Fabio Tavares,Portugal,,checked,Coventry City,England,Championship,CF,Right,Attacking,Sprinter,Striker,Assassin,82,,
Callum O'Hare,England,,checked,Coventry City,England,Championship,CM,Right,Attacking,Creator,Engine,Catalyst,84,,
Jamie Allen,England,,checked,Coventry City,England,Championship,CM,Right,Balanced,Engine,Creator,Raumdeuter,84,,
Tobi Omole,England,,checked,Crawley Town,England,League One,,,,,,,,,
Jay Williams,England,,checked,Crawley Town,England,League One,,,,,,,,,
Harry Forster,England,,checked,Crawley Town,England,League One,,,,,,,,,
Ben Gladwin,England,,checked,Crawley Town,England,League One,,,,,,,,,
Laurence Maguire,England,,checked,Crawley Town,England,League One,,,,,,,,,
Rafiq Khaleel,England,,checked,Crawley Town,England,League One,,,,,,,,,
Joy Mukena,England,,checked,Crawley Town,England,League One,,,,,,,,,
Kellan Gordon,England,,checked,Crawley Town,England,League One,,,,,,,,,
Jeremy Kelly,United States,,checked,Crawley Town,England,League One,,,,,,,,,
