Name,Nation,Club,Position,Foot,Mentality,Primary Class,Secondary Class,Model,Level
Ivan Provedel,Italy,Lazio,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,85
Eduoard Mendy,Senegal,Al-Ahli,GK,R,Cautious,Orthodox,Commander,Sentinel,85
Dominik Livakovic,Croatia,Fenerbache,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,85
Anatoli Trubin,Ukraine,Benfica,GK,R,Balanced,Orthodox,Distributor,Sentry,85
Alex Remiro,Spain,Real Sociedad,GK,R,Balanced,Acrobat,Distributor,All-Rounder,85
Aaron Ramsdale,England,Arsenal,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,85
Stefan Ortega,Germany,Manchester City,GK,R,Balanced,Distributor,Acrobat,Guardian,85
Alphonse Areola,France,West Ham,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,85
Mads Hermansen,Denmark,Leicester City,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,85
Marko Dmitrovic,Serbia,Sevilla,GK,L,Balanced,Acrobat,Distributor,All-Rounder,85
Oleksandr Zinchenko,Ukraine,Arsenal,WD ,L,Attacking,Controller,Passer,Regista,85
Matteo Ruggeri,Italy,Atalanta,WD ,L,Attacking,Passer,Cover,Provider,85
Javi Galan,Spain,Atletico Madrid,WD ,L,Attacking,Passer,Cover,Provider,85
Jurrien Timber,Netherlands,Arsenal,WD ,R,Balanced,Cover,Controller,Anchor,85
David Raum,Germany,RB Leipzig,WD ,L,Attacking,Passer,Cover,Provider,85
Pervis Estupinan,Ecuador,Brighton,WD ,L,Attacking,Sprinter,Cover,Dynamo,85
Alejandro Balde,Spain,Barcelona,WD ,L,Attacking,Sprinter,Cover,Flanker,85
Takehiro Tomiyasu,Japan,Arsenal,WD ,R,Cautious,Cover,Stopper,Cornerback,85
Jose Gaya,Spain,Valencia,WD ,L,Balanced,Sprinter,Engine,Shuttler,85
Ian Maatsen,Netherlands,Borussia Dortmund,WD ,L,Attacking,Sprinter,Creator,Spark,85
Conor Bradley,Northern Ireland,Liverpool,WD ,R,Balanced,Sprinter,Engine,Shuttler,85
Tyrick Mitchell,England,Crystal Palace,WD ,L,Balanced,Sprinter,Engine,Shuttler,85
Malo Gusto,France,Chelsea,WD ,R,Attacking,Sprinter,Engine,Shuttler,85
Daniel Munoz,Colombia,Crystal Palace,WD ,R,Balanced,Engine,Sprinter,Shuttler,85
Aaron Hickey,Scotland,Brentford,WD ,R,Balanced,Sprinter,Cover,Flanker,85
Emerson Palmieri,Italy,West Ham,WD ,L,Attacking,Sprinter,Engine,Shuttler,85
Diogo Dalot,Portugal,Manchester United,WD ,R,Balanced,Engine,Sprinter,Shuttler,85
Leif Davis,England,Ipswich Town,WD ,L,Attacking,Passer,Cover,Provider,85
Quilindschy Hartman,Netherlands,Feyenoord,WD ,L,Attacking,Engine,Sprinter,Shuttler,85
Fran Garcia,Spain,Real Madrid,WD ,L,Balanced,Sprinter,Engine,Shuttler,85
Thomas Meunier,Belgium,Borussia Dortmund,WD ,R,Balanced,Cover,Engine,Guardian,85
Juan Miranda,Spain,Real Betis,WD ,L,Attacking,Engine,Cover,Dynamo,85
Johan Mojica,Colombia,Villarreal,WD ,L,Attacking,Sprinter,Cover,Flanker,85
Alberto Moreno,Spain,Villarreal,WD ,L,Balanced,Engine,Sprinter,Shuttler,85
Ramy Bensebaini,Algeria,Borussia Dortmund,WD ,L,Balanced,Cover,Aerial,,85
Sergi Roberto,Spain,Barcelona,WD ,R,Balanced,Engine,Controller,Box-To-Box,85
Adrien Truffert,Argentina,Rennes,WD ,L,Attacking,Controller,Cover,,85
Kyle Walker-Peters,England,Southampton,WD ,R,Balanced,Engine,Sprinter,Shuttler,85
Josip Stanisic,Croatia,Bayern Munich,WD ,R,Balanced,Stopper,Engine,Train,85
Julian Ryerson,Norway,Borussia Dortmund,WD ,R,Balanced,Engine,Sprinter,Shuttler,85
Alfonso Pedraza,Spain,Villarreal,WD ,L,Balanced,Sprinter,Engine,Shuttler,85
Marc Guehi,England,Crystal Palace,CD,R,Cautious,Stopper,Powerhouse,Rock,85
Murillo,Brazil,Nottingham Forest,CD,L,Attacking,Stopper,Powerhouse,Rock,85
Gianluca Mancini,Italy,AS Roma,CD,R,Cautious,Stopper,Powerhouse,Rock,85
Dani Vivian,Spain,Athletic Bilbao,CD,R,Balanced,Stopper,Engine,Train,85
Chris Smalling,England,AS Roma,CD,R,Cautious,Stopper,Powerhouse,Rock,85
Bremer,Brazil,Juventus,CD,R,Cautious,Stopper,Powerhouse,Rock,85
Alessandro Buongiorno,Italy,Torino,CD,L,Cautious,Stopper,Aerial,Centre Back,85
Robin Le Normand,France,Real Sociedad,CD,R,Balanced,Stopper,Powerhouse,Rock,85
Roger Ibanez,Spain,Al-Ahli,CD,R,Balanced,Stopper,Controller,Lynchpin,85
Presnel Kimpembe,France,PSG,CD,L,Balanced,Stopper,Powerhouse,Rock,85
David Carmo,Portugal,Olympiacos,CD,L,Balanced,Stopper,Aerial,Centre Back,85
Amir Rrahani,Kosovo,Napoli,CD,R,Balanced,Stopper,Aerial,Centre Back,85
Jean-Clair Todibo,France,OGC Nice,CD,R,Attacking,Stopper,Controller,Lynchpin,85
Mohamed Simakan,France,RB Leipzig,CD,R,Balanced,Stopper,Sprinter,Shadow,85
Wesley Fofana,France,Chelsea,CD,R,Balanced,Stopper,Powerhouse,Rock,85
Stefan de Vrij,Netherlands,Inter Milan,CD,R,Balanced,Stopper,Controller,Lynchpin,85
Malick Thiaw,Germany,AC Milan,CD,R,Balanced,Stopper,Aerial,Centre Back,85
Bafode Diakite,France,LOSC,CD,R,Balanced,Stopper,Cover,Shield,85
Jorge Cuenca,Spain,Villarreal,CD,L,Balanced,Stopper,Cover,Shield,85
Sebastian Coates,Uruguay,Sporting,CD,R,Balanced,Stopper,Commander,Leader,85
Ousmane Diomande,Ivory Coast,Sporting,CD,R,Balanced,Stopper,Powerhouse,Rock,85
Kurt Zouma,France,West Ham,CD,R,Cautious,Powerhouse,Aerial,Tank,85
Benoit Badiashile,France,Chelsea,CD,L,Cautious,Stopper,Powerhouse,Rock,85
Antonio Silva,Portugal,Benfica,CD,R,Balanced,Stopper,Controller,Lynchpin,85
Marcos Senesi,Argentina,Bournemouth,CD,R,Balanced,Stopper,Commander,Leader,85
Levi Colwill,England,Chelsea,CD,L,Balanced,Stopper,Cover,Shield,85
Tosin Adarabioyo,Nigeria,Fulham,CD,R,Cautious,Stopper,Powerhouse,Rock,85
Calvin Bassey,Nigeria,Fulham,CD,L,Balanced,Powerhouse,Engine,Gladiator,85
Jarell Quansah,England,Liverpool,CD,R,Balanced,Stopper,Controller,Lynchpin,85
Illya Zabarnyi,Ukraine,Bournemouth,CD,R,Balanced,Stopper,Cover,Shield,85
Fabian Schar,Switzerland,Newcastle United,CD,R,Attacking,Stopper,Striker,Hammer,85
Victor Lindelof,Sweden,Manchester United,CD,R,Balanced,Stopper,Cover,Shield,85
Wout Faes,Belgium,Leicester City,CD,R,Balanced,Stopper,Powerhouse,Rock,85
Jacob Greaves,England,Hull City,CD,L,Balanced,Aerial,Stopper,Titan,85
Ethan Ampadu,Wales,Leeds United,CD,R,Balanced,Stopper,Controller,Lynchpin,85
Abakar Sylla,Ivory Coast,Strasbourg,CD,L,Balanced,Stopper,Commander,Leader,85
Igor,Brazil,Brighton,CD,L,Balanced,Powerhouse,Stopper,Enforcer,85
Eric Garcia,Spain,Girona,CD,R,Balanced,Controller,Cover,,85
Ben Gibson,England,Norwich City,CD,L,Balanced,Stopper,Commander,Leader,85
Liam Cooper,Scotland,Leeds United,CD,L,Balanced,Stopper,Commander,Leader,85
Robin Koch,Germany,Eintracht Frankfurt,CD,R,Cautious,Stopper,Aerial,Centre Back,85
David Lopez,Spain,Girona,CD,R,Balanced,Commander,Stopper,Leader,85
Daley Blind,Netherlands,Girona,CD,L,Balanced,Controller,Passer,Regista,85
Igor Zubeldia,Spain,Real Sociedad,CD,R,Attacking,Stopper,Engine,Train,85
Raul Albiol,Spain,Villarreal,CD,R,Balanced,Stopper,Cover,Shield,85
Pau Cubarsi,Spain,Barcelona,CD,R,Balanced,Stopper,Controller,Lynchpin,85
Max Wober,Austria,Gladbach,CD,L,Balanced,Stopper,Commander,Leader,85
Alexandr Golovin,Russia,AS Monaco,WM,R,Balanced,Creator,Passer,Maestro,85
Otavio,Portugal,Al-Nassr,WM,R,Attacking,Creator,Engine,Catalyst,85
Yannick Carrasco,Belgium,Al-Shabab,WM,R,Attacking,Creator,Dribbler,Magician,85
Thomas Lemar,France,Atletico Madrid,WM,L,Attacking,Creator,Passer,Maestro,85
Filip Kostic,Serbia,Juventus,WM,L,Balanced,Sprinter,Cover,Flanker,85
Ez Abde,Morocco,Real Betis,WM,R,Attacking,Dribbler,Sprinter,Winger,85
Samuel Chukwueze,Nigeria,AC Milan,WM,L,Attacking,Creator,Dribbler,Magician,85
Chiedozie Ogbene,Ireland,Luton Town,WM,R,Balanced,Sprinter,Dribbler,Flash,85
Alex Iwobi,Nigeria,Fulham,WM,R,Balanced,Creator,Engine,Catalyst,85
Amine Adli,Morocco,Leverkusen,WM,L,Attacking,Sprinter,Creator,Spark,85
Nathan Tella,Nigeria,Leverkusen,WM,R,Attacking,Sprinter,Engine,Shuttler,85
Marius Wolf,Germany,Borussia Dortmund,WM,R,Balanced,Engine,Sprinter,Shuttler,85
Francisco Conceicao,Portugal,Porto,WM,L,Attacking,Creator,Dribbler,Magician,85
Viktor Tsygankov,Ukraine,Girona,WM,L,Attacking,Creator,Dribbler,Magician,85
Jamie Bynoe-Gittens,England,Borussia Dortmund,WM,R,Attacking,Dribbler,Sprinter,Winger,85
Rodrigo Riquelme,Spain,Atletico Madrid,WM,R,Balanced,Dribbler,Creator,Wizard,85
Jesus Navas,Spain,Sevilla,WM,R,Attacking,Engine,Sprinter,Shuttler,85
Andres Guardado,Mexico,Real Betis,WM,,,,,,85
Thorgan Hazard,Belgium,Borussia Dortmund,WM,R,Attacking,Creator,Dribbler,Magician,85
Nahuel Molina,Argentina,Atletico Madrid,WM,R,Balanced,Sprinter,Engine,Shuttler,85
Wilfred Ndidi,Nigeria,Leicester City,CM,R,Cautious,Engine,Stopper,Destroyer,85
Pierre-Emile Hjobjerg,Denmark,Tottenham Hotspur,CM,R,Balanced,Controller,Passer,Regista,85
Kalvin Phillips,England,West Ham,CM,R,Balanced,Cover,Engine,Guardian,85
Manuel Ugarte,Uruguay,PSG,CM,R,Cautious,Cover,Engine,Guardian,85
Dani Parejo,Spain,Villarreal,CM,R,Balanced,Passer,Creator,Playmaker,85
William Carvalho,Portugal,Real Betis,CM,R,Cautious,Cover,Controller,Anchor,85
Edson Alvarez,Mexico,West Ham,CM,R,Cautious,Cover,Engine,Guardian,85
Fredrik Aursnes,Norway,Benfica,CM,R,Balanced,Engine,Controller,Box-To-Box,85
Martin Zubimendi,Spain,Real Sociedad,CM,R,Balanced,Controller,Engine,Conductor,85
Ibrahim Sangare,Ivory Coast,Nottingham Forest,CM,R,Cautious,Aerial,Powerhouse,Colossus,85
Bryan Cristante,Italy,AS Roma,CM,R,Balanced,Engine,Commander,Driver,85
Luis Alberto,Spain,Lazio,CM,R,Balanced,Creator,Passer,Maestro,85
Davide Frattesi,Italy,Inter Milan,CM,R,Balanced,Creator,Engine,Catalyst,85
Joao Mario,Portugal,Benfica,CM,R,Balanced,Controller,Engine,Conductor,85
Marcel Sabitzer,Austria,Borussia Dortmund,CM,R,Balanced,Engine,Cover,Dynamo,85
Fabian Ruiz,Spain,PSG,CM,L,Balanced,Controller,Creator,Pivot,85
Sebastian Szymanski,Poland,Fenerbache,CM,L,Attacking,Creator,Engine,Catalyst,85
Oihan Sancet,Spain,Athletic Bilbao,CM,R,Balanced,Controller,Engine,Conductor,85
Talisca,Brazil,Al-Nassr,CM,L,Attacking,Creator,Dribbler,Magician,85
Nico Gonzalez,Spain,Porto,CM,R,Balanced,Controller,Engine,Conductor,85
Alan Varela,Argentina,Porto,CM,R,Balanced,Controller,Engine,Conductor,85
Renato Sanches,Portugal,AS Roma,CM,R,Balanced,Engine,Creator,Raumdeuter,85
Hidemasa Morita,Japan,Sporting,CM,R,Balanced,Controller,Engine,Conductor,85
Mikel Merino,Spain,Real Sociedad,CM,L,Balanced,Engine,Controller,Box-To-Box,85
Iliman N'Diaye,Senegal,OM,CM,R,Attacking,Creator,Dribbler,Magician,85
Andre-Franck Zambo Anguissa,Cameroon,Napoli,CM,R,Balanced,Powerhouse,Engine,Gladiator,85
Samuele Ricci,Italy,Torino,CM,R,Balanced,Controller,Engine,Conductor,85
Pape Sarr,Senegal,Tottenham Hotspur,CM,R,Balanced,Engine,Powerhouse,Bison,85
Adrien Rabiot,France,Juventus,CM,L,Balanced,Engine,Controller,Box-To-Box,85
Julian Brandt,Germany,Borussia Dortmund,CM,R,Attacking,Creator,Passer,Maestro,85
Xavier Schlager,Austria,RB Leipzig,CM,L,Balanced,Engine,Commander,Driver,85
Khephren Thuram,France,OGC Nice,CM,R,Balanced,Engine,Controller,Box-To-Box,85
Ismael Bennacer,Algeria,AC Milan,CM,L,Balanced,Engine,Controller,Box-To-Box,85
Stanislav Lobotka,Slovakia,Napoli,CM,R,Balanced,Controller,Passer,Regista,85
Carlos Soler,Spain,PSG,CM,R,Balanced,Controller,Creator,Pivot,85
Tijani Reijnders,Netherlands,AC Milan,CM,R,Balanced,Creator,Passer,Maestro,85
Tyler Adams,USA,Bournemouth,CM,R,Balanced,Engine,Stopper,Destroyer,85
Julio Enciso,Paraguay,Brighton,CM,R,Attacking,Creator,Dribbler,Magician,85
Justin Kluivert,Netherlands,Bournemouth,CM,R,Attacking,Creator,Sprinter,Livewire,85
Wataru Endo,Japan,Liverpool,CM,R,Cautious,Cover,Engine,Guardian,85
Christian Norgaard,Denmark,Brentford,CM,R,Cautious,Cover,Engine,Guardian,85
Adam Wharton,England,Crystal Palace,CM,L,Balanced,Controller,Engine,Conductor,85
Ryan Gravenberch,Netherlands,Liverpool,CM,R,Balanced,Controller,Engine,Conductor,85
Jefferson Lerma,Colombia,Crystal Palace,CM,R,Balanced,Engine,Stopper,Destroyer,85
Mario Lemina,Gabon,Wolves,CM,R,Balanced,Engine,Commander,Driver,85
Stuart Armstrong,Scotland,Southampton,CM,R,Balanced,Creator,Engine,Catalyst,85
Ivan Martin,Spain,Girona,CM,L,Attacking,Creator,Dribbler,Magician,85
Gabriel Sara,Brazil,Norwich City,CM,L,Balanced,Creator,Engine,Catalyst,85
Hakon Haraldsson,Iceland,LOSC,CM,R,Balanced,Engine,Creator,Raumdeuter,85
Yunus Musah,USA,AC Milan,CM,R,Balanced,Engine,Stopper,Destroyer,85
Tommaso Baldanzi,Italy,Empoli,CM,L,Attacking,Creator,Engine,Catalyst,85
Aleix Garcia,Spain,Girona,CM,R,Balanced,Controller,Passer,Regista,85
Amadou Onana,Belgium,Everton,CM,R,Balanced,Engine,Aerial,Boxcrasher,85
Marc Roca,Spain,Real Betis,CM,L,Balanced,Controller,Engine,Conductor,85
Nadiem Amiri,Germany,Leverkusen,CM,R,Balanced,Engine,Commander,Driver,85
Aleksandar Pavlovic,Germany,Bayern Munich,CM,R,Balanced,Controller,Engine,Conductor,85
Etienne Capoue,France,Villarreal,CM,R,Cautious,Cover,Engine,Guardian,85
Djibril Sow,Switzerland,Sevilla,CM,R,Balanced,Engine,Stopper,Destroyer,85
Fernando,Brazil,Sevilla,CM,R,Cautious,Cover,Commander,Anchor,85
Maurits Kjaergaard,Denmark,RB Salzburg,CM,L,Balanced,Powerhouse,Aerial,Tank,85
Pablo Maia,Brazil,Sao Paulo,CM,R,Balanced,Engine,Controller,Box-To-Box,85
Nicolo Rovella,Italy,Juventus,CM,R,Balanced,Controller,Passer,Regista,85
Brenden Aaronson,USA,Union Berlin,CM,R,Balanced,Engine,Sprinter,Shuttler,85
Yann M'Vila,France,WBA,CM,R,Cautious,Engine,Powerhouse,Bison,85
Ramon Terrats,Spain,Villarreal,CM,L,Balanced,Controller,Engine,Conductor,85
Salih Ozcan,Turkey,Borussia Dortmund,CM,R,Balanced,Engine,Stopper,Destroyer,85
Kenneth Taylor,Netherlands,Ajax,CM,L,Balanced,Engine,Passer,Metronome,85
Isco,Spain,Real Betis,CM,R,Attacking,Creator,Dribbler,Magician,85
Manu Trigueros,Spain,Villarreal,CM,R,Balanced,Controller,Creator,Pivot,85
Axel Witsel,Belgium,Atletico Madrid,CM,R,Cautious,Cover,Commander,Anchor,85
Edoardo Bove,Italy,AS Roma,CM,R,Balanced,Engine,Stopper,Destroyer,85
Felix Nmecha,Germany,Borussia Dortmund,CM,R,Balanced,Creator,Engine,Catalyst,85
Exequiel Palacios,Argentina,Leverkusen,CM,R,Balanced,Engine,Stopper,Destroyer,85
Robert Andrich,Germany,Leverkusen,CM,R,Balanced,Engine,Commander,Driver,85
Philippe Coutinho,Brazil,Al-Duhail,WF,R,Attacking,Creator,Dribbler,Magician,85
Jack Harrison,England,Everton,WF,L,Balanced,Creator,Striker,Fantasista,85
Antony,Brazil,Manchester United,WF,L,Attacking,Dribbler,Creator,Wizard,85
Nicolo Zaniolo,Italy,Aston Villa,WF,L,Attacking,Creator,Striker,Fantasista,85
Matteo Politano,Italy,Napoli,WF,L,Attacking,Creator,Striker,Fantasista,85
Felipe Anderson,Brazil,Lazio,WF,R,Balanced,Creator,Dribbler,Magician,85
Alejandro Garnacho,Spain,Manchester United,WF,R,Attacking,Sprinter,Striker,Ghost,85
Angel Correa,Argentina,Atletico Madrid,WF,R,Attacking,Dribbler,Creator,Wizard,85
Malcolm,Brazil,Al-Hilal,WF,L,Attacking,Creator,Dribbler,Magician,85
Ricardo Horta,Portugal,Braga,WF,R,Attacking,Creator,Dribbler,Magician,85
Nico Williams,Spain,Athletic Bilbao,WF,R,Attacking,Creator,Dribbler,Magician,85
Domenico Beradi,Italy,Sassuolo,WF,L,Attacking,Creator,Striker,Fantasista,85
Ander Barrenetxea,Spain,Real Sociedad,WF,R,Attacking,Creator,Dribbler,Magician,85
Bryan Mbeumo,Cameroon,Brentford,WF,L,Attacking,Sprinter,Striker,Ghost,85
Arnaut Danjuma,Netherlands,Everton,WF,R,Attacking,Creator,Dribbler,Magician,85
Mohamed Daramy,Denmark,Reims,WF,R,Attacking,Dribbler,Sprinter,Winger,85
Ansu Fati,Spain,Brighton,WF,R,Attacking,Creator,Dribbler,Magician,85
Antoine Semenyo,Ghana,Bournemouth,WF,R,Attacking,Sprinter,Dribbler,Flash,85
Noni Madueke,England,Chelsea,WF,L,Attacking,Dribbler,Creator,Wizard,85
Hwang Hee-chan,South Korea,Wolves,WF,L,Attacking,Sprinter,Powerhouse,Athlete,85
Brennan Johnson,Wales,Tottenham Hotspur,WF,R,Balanced,Sprinter,Creator,Spark,85
Mason Greenwood,England,Getafe,WF,E,Attacking,Striker,Sprinter,Rocket,85
Emmanuel Dennis,Nigeria,Watford,WF,R,Attacking,Sprinter,Creator,Spark,85
Omari Hutchinson,England,Ipswich Town,WF,L,Attacking,Creator,Dribbler,Magician,85
Mathys Tel,France,Bayern Munich,WF,R,Attacking,Dribbler,Sprinter,Winger,85
Ernest Nuamah,Ghana,OL,WF,L,Balanced,Sprinter,Dribbler,Flash,85
Jeremy Sarmiento,Ecuador,WBA,WF,R,Attacking,Creator,Sprinter,Livewire,85
Gabriel Veron,Brazil,Porto,WF,R,Attacking,Sprinter,Dribbler,Flash,85
Dodi Lukebakio,Belgium,Sevilla,WF,L,Attacking,Dribbler,Sprinter,Winger,85
Danny Welbeck,England,Brighton,CF,R,Balanced,Powerhouse,Striker,Spearhead,85
Roberto Firmino,Brazil,Al-Ahli,CF,R,Balanced,Engine,Striker,Livewire,85
Taiwo Awoniyi,Nigeria,Nottingham Forest,CF,R,Balanced,Powerhouse,Striker,Spearhead,85
Gerard Moreno,Spain,Villarreal,CF,R,Balanced,Striker,Engine,Poacher,85
Callum Wilson,England,Newcastle United,CF,R,Attacking,Striker,Aerial,Hitman,85
Elye Wahi,France,RC Lens,CF,R,Attacking,Striker,Sprinter,Rocket,85
Mehdi Taremi,Iran,Porto,CF,R,Attacking,Creator,Striker,Fantasista,85
Rasmus Hojlund,Denmark,Manchester United,CF,L,Balanced,Sprinter,Striker,Ghost,85
Patrik Schik,Czech Republic,Leverkusen,CF,L,Attacking,Striker,Powerhouse,Rifle,85
Goncalo Ramos,Portugal,PSG,CF,R,Balanced,Striker,Engine,Poacher,85
Nicolas Jackson,Senegal,Chelsea,CF,L,Balanced,Sprinter,Striker,Ghost,85
Dominic Calvert-Lewin,England,Everton,CF,R,Attacking,Aerial,Striker,Target,85
Joao Pedro,Brazil,Brighton,CF,R,Attacking,Creator,Striker,Fantasista,85
Rodrigo Muniz,Brazil,Fulham,CF,R,Balanced,Powerhouse,Striker,Spearhead,85
Carlton Morris,England,Luton Town,CF,R,Balanced,Powerhouse,Striker,Spearhead,85
David Datro Fofana,Ivory Coast,Burnley,CF,R,Attacking,Striker,Powerhouse,Rifle,85
Elijah Adebayo,England,Luton Town,CF,R,Balanced,Aerial,Powerhouse,Colossus,85
Mariano Diaz,Dominican Republic,Sevilla,CF,R,Attacking,Striker,Engine,Poacher,85
Rafa Mir,Spain,Sevilla,CF,R,Attacking,Aerial,Striker,Target,85
Eric-Maxim Choupo-Moting,Cameroon,Bayern Munich,CF,R,Balanced,Aerial,Striker,Target,85
Youssoufa Moukoko,Germany,Borussia Dortmund,CF,L,Attacking,Striker,Sprinter,Rocket,85
Karim Konate,Ivory Coast,RB Salzburg,CF,R,Balanced,Sprinter,Striker,Ghost,85
Patson Daka,Zambia,Leicester City,CF,R,Attacking,Sprinter,Striker,Ghost,85
Carlos Fernandez,Spain,Real Sociedad,CF,L,Balanced,Striker,Creator,Assassin,85
Alexander Sorloth,Norway,Villarreal,CF,R,Balanced,Aerial,Powerhouse,Colossus,85
Ayoze Perez,Spain,Real Betis,CF,R,Balanced,Engine,Creator,Raumdeuter,85
Willian Jose,Brazil,Real Betis,CF,,,,,,85
Marcos Leonardo,Brazil,Santos,CF,R,Attacking,Striker,Engine,Poacher,85
El Bilal Toure,Mali,Atalanta,CF,R,Balanced,Sprinter,Powerhouse,Athlete,85
Andre Silva,Portugal,Real Sociedad,CF,R,Balanced,Aerial,Striker,Target,85
Thomas Kaminski,Poland,Luton Town,GK,R,Cautious,Orthodox,Acrobat,Wall,84
Rui Patricio,Portugal,AS Roma,GK,R,Cautious,Orthodox,Commander,Sentinel,84
Jason Steele,England,Brighton,GK,R,Balanced,Acrobat,Commander,,84
Dean Henderson,England,Crystal Palace,GK,R,Balanced,Acrobat,Commander,,84
Mark Flekken,Netherlands,Brentford,GK,R,Balanced,Acrobat,Distributor,All-Rounder,84
Bart Verbruggen,Netherlands,Brighton,GK,R,Balanced,Distributor,Acrobat,Guardian,84
Thomas Strakosha,Albania,Brentford,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,84
Caoimhin Kelleher,Ireland,Liverpool,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,84
Neto,Brazil,Bournemouth,GK,R,Balanced,Acrobat,Sweeper,Hawk,84
Altay Bayindir,Turkey,Manchester United,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,84
Gavin Bazunu,Ireland,Southampton,GK,R,Cautious,Acrobat,Orthodox,Shotstopper,84
Paulo Gazzaniga,Argentina,Girona,GK,R,Balanced,Acrobat,Distributor,All-Rounder,84
Orjen Nyland,Norway,Sevilla,GK,R,Balanced,Acrobat,Orthodox,Shotstopper,84
Rui Silva,Portugal,Real Betis,GK,L,Cautious,Acrobat,Orthodox,,84
Stefano Turati,Italy,Frosinone,GK,R,Cautious,Acrobat,Commander,,84
Ben Chilwell,England,Chelsea,WD ,L,Attacking,Passer,Cover,Provider,84
Aaron Cresswell,England,West Ham,WD ,L,Balanced,Passer,Cover,Provider,84
Dan Burn,England,Newcastle United,WD ,L,Cautious,Aerial,Stopper,Titan,84
César Azpilicueta,Spain,Atletico Madrid,WD ,R,Cautious,Cover,Stopper,Cornerback,84
Aaron Wan-Bissaka,England,Crystal Palace,WD ,R,Balanced,Cover,Stopper,Cornerback,84
Nelson Semedo,Portugal,Wolves,WD ,R,Balanced,Sprinter,Cover,Flanker,84
Seamus Coleman,Ireland,Everton,WD ,R,Balanced,Engine,Cover,Dynamo,84
Pierre Kalulu,France,AC Milan,WD ,R,Balanced,Cover,Stopper,Cornerback,84
Alex Moreno,Spain,Aston Villa,WD ,L,Balanced,Engine,Sprinter,Shuttler,84
Vanderson,Brazil,AS Monaco,WD ,R,Attacking,Passer,Cover,Provider,84
Luke Shaw,England,Manchester United,WD ,L,Balanced,Engine,Cover,Dynamo,84
Danilo,Brazil,Juventus,WD ,R,Balanced,Engine,Cover,Dynamo,84
Kieran Tierney,Scotland,Real Sociedad,WD ,L,Balanced,Cover,Engine,Guardian,84
Carlos Augusto,Brazil,Inter Milan,WD ,L,Attacking,Passer,Cover,Provider,84
Juan Foyth,Argentina,Villarreal,WD ,R,Cautious,Cover,Stopper,Cornerback,84
Antonee Robinson,USA,Fulham,WD ,L,Balanced,Sprinter,Cover,Flanker,84
Kenny Tete,Netherlands,Fulham,WD ,R,Balanced,Engine,Cover,Dynamo,84
Rico Henry,England,Brentford,WD ,L,Attacking,Sprinter,Engine,Shuttler,84
Timothy Castagne,Belgium,Fulham,WD ,R,Balanced,Engine,Cover,Dynamo,84
Adam Smith,England,Bournemouth,WD ,R,Balanced,Engine,Commander,Driver,84
Milos Kerkez,Hungary,Bournemouth,WD ,L,Attacking,Engine,Sprinter,Shuttler,84
Nuno Tavares,Portugal,Nottingham Forest,WD ,L,Attacking,Sprinter,Engine,Shuttler,84
Gonzalo Montiel,Argentina,Nottingham Forest,WD ,R,Attacking,Engine,Sprinter,Shuttler,84
Ashley Young,England,Everton,WD ,R,Balanced,Cover,Engine,Guardian,84
Vitaliy Mykolenko,Ukraine,Everton,WD ,L,Balanced,Cover,Engine,Guardian,84
Luke Thomas,England,Leicester City,WD ,L,Balanced,Engine,Sprinter,Shuttler,84
Romain Perraud,France,OGC Nice,WD ,L,Attacking,Passer,Cover,Provider,84
Hamari Traore,Mali,Real Sociedad,WD ,R,Balanced,Engine,Sprinter,Shuttler,84
Victor Kristiansen,Denmark,Bologna,WD ,L,Balanced,Cover,Engine,Guardian,84
Youssouf Sabaly,Senegal,Real Betis,WD ,R,Balanced,Engine,Sprinter,Shuttler,84
Riccardo Calfiori,Italy,Bologna,WD ,L,Balanced,Engine,Cover,Dynamo,84
Hector Bellerin,Spain,Real Betis,WD ,R,Balanced,Sprinter,Engine,Shuttler,84
Kiko Femenia,Spain,Villarreal,WD ,R,Balanced,Sprinter,Cover,Flanker,84
Junior Firpo,Dominican Republic,Leeds United,WD ,L,Attacking,Sprinter,Engine,Shuttler,84
Aitor Ruibal,Spain,Real Betis,WD ,R,Balanced,Engine,Commander,Driver,84
Adria Pedrosa,Spain,Sevilla,WD ,L,Balanced,Sprinter,Controller,,84
Ryan Manning,Ireland,Southampton,WD ,L,Balanced,Engine,Cover,Dynamo,84
Nathan Patterson,Scotland,Everton,WD ,R,Balanced,Engine,Sprinter,Shuttler,84
Rasmus Kristensen,Denmark,AS Roma,WD ,R,Attacking,Engine,Powerhouse,Bison,84
Ricardo Pereira,Portugal,Leicester City,WD ,R,Attacking,Passer,Cover,Provider,84
Amar Dedic,Bosnia,RB Salzburg,WD ,R,Balanced,Controller,Engine,Conductor,84
Alexandre Penetra,Portugal,AZ,WD ,R,Balanced,Cover,Controller,Anchor,84
Abner Vinicius,Brazil,Real Betis,WD ,L,Attacking,Sprinter,Engine,Shuttler,84
